fund_id,trustee_id,trustee_en,trustee_zh,scheme_id,scheme_en,scheme_zh,fund_type_id,fund_type_en,fund_type_zh,fund_name_en,fund_name_zh,class,launch_date
264,HSBC,HSBC,滙豐,HS,Hang Seng Mandatory Provident Fund - SuperTrust Plus,恒生強積金智選計劃,EQ_CHN,Equity Fund - China Equity Fund,股票基金 - 中國股票基金,Chinese Equity Fund,中國股票基金,,2009-10-08
265,HSBC,HSBC,滙豐,HS,Hang Seng Mandatory Provident Fund - SuperTrust Plus,恒生強積金智選計劃,MM_MPFCON,Money Market Fund - MPF Conservative Fund,貨幣市場基金 - 強積金保守基金,MPF Conservative Fund,強積金保守基金,,2000-12-01
266,HSBC,HSBC,滙豐,HS,Hang Seng Mandatory Provident Fund - SuperTrust Plus,恒生強積金智選計劃,EQ_EUR,Equity Fund - Europe Equity Fund,股票基金 - 歐洲股票基金,European Equity Fund,歐洲股票基金,,2000-12-01
267,HSBC,HSBC,滙豐,HS,Hang Seng Mandatory Provident Fund - SuperTrust Plus,恒生強積金智選計劃,MIX_DIS_65,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,混合資產基金 - 預設投資策略-65歲後基金,Age 65 Plus Fund,65 歲後基金,,2009-10-08
268,HSBC,HSBC,滙豐,HS,Hang Seng Mandatory Provident Fund - SuperTrust Plus,恒生強積金智選計劃,BOND_GLOB,Bond Fund - Global Bond Fund,債券基金 - 環球債券基金,Global Bond Fund,環球債券基金,,2009-10-08
269,HSBC,HSBC,滙豐,HS,Hang Seng Mandatory Provident Fund - SuperTrust Plus,恒生強積金智選計劃,EQ_GLOB,Equity Fund - Global Equity Fund,股票基金 - 環球股票基金,Global Equity Fund,環球股票基金,,2019-07-01
270,HSBC,HSBC,滙豐,HS,Hang Seng Mandatory Provident Fund - SuperTrust Plus,恒生強積金智選計劃,MIX_81_100,Mixed Assets Fund - 81% to 100% Equity,混合資產基金 - 81% 至 100% 股票,Growth Fund,保證基金,,2000-12-01
271,HSBC,HSBC,滙豐,HS,Hang Seng Mandatory Provident Fund - SuperTrust Plus,恒生強積金智選計劃,GUAR,Guaranteed Fund,保證基金,Guaranteed Fund,保證基金,,2000-12-01
272,HSBC,HSBC,滙豐,HS,Hang Seng Mandatory Provident Fund - SuperTrust Plus,恒生強積金智選計劃,EQ_HK,Equity Fund - Hong Kong Equity Fund,股票基金 - 香港股票基金,Hong Kong and Chinese Equity Fund,中港股票基金,,2000-12-01
273,HSBC,HSBC,滙豐,HS,Hang Seng Mandatory Provident Fund - SuperTrust Plus,恒生強積金智選計劃,EQ_CHN,Equity Fund - China Equity Fund,股票基金 - 中國股票基金,Hang Seng China Enterprises Index Tracking Fund,恒生中國企業指數基金,,2019-07-01
274,HSBC,HSBC,滙豐,HS,Hang Seng Mandatory Provident Fund - SuperTrust Plus,恒生強積金智選計劃,EQ_HK_IDX,Equity Fund - Hong Kong Equity Fund (Index Tracking),股票基金 - 香港股票基金（追蹤指數）,Hang Seng Index Tracking Fund,恒指基金,,2000-12-01
275,HSBC,HSBC,滙豐,HS,Hang Seng Mandatory Provident Fund - SuperTrust Plus,恒生強積金智選計劃,EQ_US,Equity Fund - United States Equity Fund,股票基金 - 美國股票基金,North American Equity Fund,北美股票基金,,2000-12-01
276,HSBC,HSBC,滙豐,HS,Hang Seng Mandatory Provident Fund - SuperTrust Plus,恒生強積金智選計劃,MIX_21_40,Mixed Assets Fund - 21% to 40% Equity,混合資產基金 - 21% 至 40% 股票,Stable Fund,平穩基金,,2009-10-08
277,HSBC,HSBC,滙豐,HS,Hang Seng Mandatory Provident Fund - SuperTrust Plus,恒生強積金智選計劃,MIX_DIS_CAF,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,混合資產基金 - 預設投資策略-核心累積基金,Core Accumulation Fund,核心累積基金,,2000-12-01
278,HSBC,HSBC,滙豐,HS,Hang Seng Mandatory Provident Fund - SuperTrust Plus,恒生強積金智選計劃,EQ_ASIA,Equity Fund - Asia Equity Fund,股票基金 - 亞洲股票基金,ValueChoice Asia Pacific Equity Tracker Fund,智優逸亞太股票追蹤指數基金,,2019-07-01
279,HSBC,HSBC,滙豐,HS,Hang Seng Mandatory Provident Fund - SuperTrust Plus,恒生強積金智選計劃,MIX_61_80,Mixed Assets Fund - 61% to 80% Equity,混合資產基金 - 61% 至 80% 股票,ValueChoice Balanced Fund,智優逸均衡基金,,2019-07-01
280,HSBC,HSBC,滙豐,HS,Hang Seng Mandatory Provident Fund - SuperTrust Plus,恒生強積金智選計劃,EQ_EUR,Equity Fund - Europe Equity Fund,股票基金 - 歐洲股票基金,ValueChoice Europe Equity Tracker Fund,智優逸歐洲股票追蹤指數基金,,2019-07-01
281,HSBC,HSBC,滙豐,HS,Hang Seng Mandatory Provident Fund - SuperTrust Plus,恒生強積金智選計劃,EQ_US,Equity Fund - United States Equity Fund,股票基金 - 美國股票基金,ValueChoice US Equity Fund,智優逸北美股票追蹤指數基金,,2019-07-01
301,MNLF,Manulife,宏利,RC,Manulife RetireChoice (MPF) Scheme,宏利退休精選（強積金）計劃,MIX_DIS_65,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,混合資產基金 - 預設投資策略-65歲後基金,Allianz MPF Age 65 Plus Fund - Class A,安聯強積金65歲後基金 - 單位A,A,2017-04-01
302,MNLF,Manulife,宏利,RC,Manulife RetireChoice (MPF) Scheme,宏利退休精選（強積金）計劃,MIX_DIS_65,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,混合資產基金 - 預設投資策略-65歲後基金,Allianz MPF Age 65 Plus Fund - Class B,安聯強積金65歲後基金 - 單位B,B,2017-04-01
303,MNLF,Manulife,宏利,RC,Manulife RetireChoice (MPF) Scheme,宏利退休精選（強積金）計劃,MIX_DIS_65,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,混合資產基金 - 預設投資策略-65歲後基金,Allianz MPF Age 65 Plus Fund - Class T,安聯強積金65歲後基金 - 單位T,T,2017-04-01
