scheme,constituent_fund,mpf_trustee,fund_type,launch_date,fund_size_hkd_m,risk_class,latest_fund_expense_ratio,calendar_year_return_2025,calendar_year_return_2024,calendar_year_return_2023,calendar_year_return_2022,calendar_year_return_2021,scheme_tc,constituent_fund_tc,mpf_trustee_tc,fund_type_tc,scheme_sc,constituent_fund_sc,mpf_trustee_sc,fund_type_sc,fund_code
BCT (MPF) Industry Choice,BCT (Industry) Age 65 Plus Fund,BCT,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,2017-04-01,480.57,4,0.85349,7.08,3.81,8.40,-15.19,0.64,BCT（強積金）行業計劃,BCT（行業）65歲後基金,銀聯信託,混合資產基金 - 預設投資策略-65歲後基金,BCT（强积金）行业计划,"BCT（行业）65岁后基金
",银联信托,混合资产基金 - 预设投资策略-65岁后基金,BCT-IC-A6PFD
BCT (MPF) Industry Choice,BCT (Industry) Asian Equity Fund,BCT,Equity Fund - Asia Equity Fund,2004-05-01,603.42,5,1.74461,26.63,9.74,1.20,-22.73,1.54,BCT（強積金）行業計劃,BCT（行業）亞洲股票基金,銀聯信託,股票基金 - 亞洲股票基金,BCT（强积金）行业计划,"BCT（行业）亚洲股票基金
",银联信托,股票基金 - 亚洲股票基金,BCT-IC-ASEQFD
BCT (MPF) Industry Choice,BCT (Industry) China and Hong Kong Equity Fund,BCT,Equity Fund - Hong Kong Equity Fund,2002-10-01,942.89,6,1.67560,30.67,15.99,-16.26,-19.12,-16.08,BCT（強積金）行業計劃,BCT（行業）中國及香港股票基金,銀聯信託,股票基金 - 香港股票基金,BCT（强积金）行业计划,"BCT（行业）中国及香港股票基金
",银联信托,股票基金 - 香港股票基金,BCT-IC-CHKFD
BCT (MPF) Industry Choice,BCT (Industry) Core Accumulation Fund,BCT,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,2017-04-01,849.45,4,0.85490,15.72,11.03,16.02,-16.61,9.95,BCT（強積金）行業計劃,BCT（行業）核心累積基金,銀聯信託,混合資產基金 - 預設投資策略-核心累積基金,BCT（强积金）行业计划,"BCT（行业）核心累积基金
",银联信托,混合资产基金 - 预设投资策略-核心累积基金,BCT-IC-CRACFD
BCT (MPF) Industry Choice,BCT (Industry) E30 Mixed Asset Fund,BCT,Mixed Assets Fund - 21% to 40% Equity,2000-12-01,476.63,4,1.68707,10.71,1.57,5.26,-14.82,-2.90,BCT（強積金）行業計劃,BCT（行業）E30 混合資產基金,銀聯信託,混合資產基金 - 21% 至 40% 股票,BCT（强积金）行业计划,"BCT（行业）E30 混合资产基金
",银联信托,混合资产基金 - 21% to 40% 股票,BCT-IC-EMAFD
BCT (MPF) Industry Choice,BCT (Industry) E50 Mixed Asset Fund,BCT,Mixed Assets Fund - 41% to 60% Equity,2000-12-01,414.12,4,1.69870,14.70,3.85,5.14,-15.72,-1.89,BCT（強積金）行業計劃,BCT（行業）E50 混合資產基金,銀聯信託,混合資產基金 - 41% 至 60% 股票,BCT（强积金）行业计划,"BCT（行业）E50 混合资产基金
",银联信托,混合资产基金 - 41% to 60% 股票,BCT-IC-EMAFD
BCT (MPF) Industry Choice,BCT (Industry) E70 Mixed Asset Fund,BCT,Mixed Assets Fund - 61% to 80% Equity,2000-12-01,614.96,4,1.69592,18.94,6.22,5.07,-16.74,-0.95,BCT（強積金）行業計劃,BCT（行業）E70 混合資產基金,銀聯信託,混合資產基金 - 61% 至 80% 股票,BCT（强积金）行业计划,"BCT（行业）E70 混合资产基金
",银联信托,混合资产基金 - 61% to 80% 股票,BCT-IC-EMAFD
BCT (MPF) Industry Choice,BCT (Industry) Flexi Mixed Asset Fund,BCT,Mixed Assets Fund - Uncategorized Mixed Asset Fund,2005-08-01,201.37,3,1.63473,8.29,2.79,3.25,-7.53,5.34,BCT（強積金）行業計劃,BCT（行業）靈活混合資產基金,銀聯信託,混合資產基金 - 未分類混合資產基金,BCT（强积金）行业计划,"BCT（行业）灵活混合资产基金
",银联信托,混合资产基金 - 未分类混合资产基金,BCT-IC-FMAFD
BCT (MPF) Industry Choice,BCT (Industry) Global Bond Fund,BCT,Bond Fund - Global Bond Fund,2002-10-01,163.07,4,1.58107,5.24,-3.54,2.34,-13.60,-4.31,BCT（強積金）行業計劃,BCT（行業）環球債券基金,銀聯信託,債券基金 - 環球債券基金,BCT（强积金）行业计划,"BCT（行业）环球债券基金
",银联信托,债券基金 - 环球债券基金,BCT-IC-GLBDFD
BCT (MPF) Industry Choice,BCT (Industry) Global Equity Fund,BCT,Equity Fund - Global Equity Fund,2002-10-01,564.66,5,1.49977,18.67,16.88,18.42,-23.04,21.61,BCT（強積金）行業計劃,BCT（行業）環球股票基金,銀聯信託,股票基金 - 環球股票基金,BCT（强积金）行业计划,"BCT（行业）环球股票基金
",银联信托,股票基金 - 环球股票基金,BCT-IC-GLEQFD
