scheme,constituent_fund,mpf_trustee,fund_type,launch_date,fund_size_hkd_m,risk_class,latest_fer,calendar_year_return_2025,calendar_year_return_2024,calendar_year_return_2023,calendar_year_return_2022,calendar_year_return_2021
BCT Strategic MPF Scheme,Invesco Balanced Fund - Unit Class A,BCT,Mixed Assets Fund - 61% to 80% Equity,29-01-2001,"1,543.29",5,1.28760,20.03,5.50,5.54,-16.36,-0.52
BCT Strategic MPF Scheme,Invesco Balanced Fund - Unit Class H,BCT,Mixed Assets Fund - 61% to 80% Equity,12-02-2001,"1,347.36",5,1.16432,20.17,5.62,5.66,-16.26,-0.39
BCT Strategic MPF Scheme,Invesco Capital Stable Fund - Unit Class A,BCT,Mixed Assets Fund - 21% to 40% Equity,29-01-2001,901.88,4,1.27011,12.08,1.50,5.72,-14.44,-2.49
BCT Strategic MPF Scheme,Invesco Capital Stable Fund - Unit Class H,BCT,Mixed Assets Fund - 21% to 40% Equity,12-02-2001,662.53,4,1.14744,12.22,1.62,5.84,-14.34,-2.37
BCT Strategic MPF Scheme,Invesco Core Accumulation Fund - Unit Class A,BCT,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,01-04-2017,"1,148.08",4,0.80026,15.80,11.13,16.16,-16.61,10.05
BCT Strategic MPF Scheme,Invesco Core Accumulation Fund - Unit Class H,BCT,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,01-04-2017,909.61,4,0.79675,15.80,11.13,16.16,-16.61,10.05
BCT Strategic MPF Scheme,Invesco Global Bond Fund - Unit Class A,BCT,Bond Fund - Global Bond Fund,05-03-2003,502.99,4,1.25052,5.97,-1.54,5.86,-12.99,-4.10
BCT Strategic MPF Scheme,Invesco Global Bond Fund - Unit Class H,BCT,Bond Fund - Global Bond Fund,05-03-2003,569.52,4,1.12773,6.09,-1.42,5.98,-12.89,-3.99
BCT Strategic MPF Scheme,Invesco Global Index Tracking Fund - Unit Class A,BCT,Equity Fund - Global Equity Fund,09-06-2023,98.76,n.a.,1.15221,18.67,15.89,n.a.,n.a.,n.a.
BCT Strategic MPF Scheme,Invesco Global Index Tracking Fund - Unit Class H,BCT,Equity Fund - Global Equity Fund,09-06-2023,159.49,n.a.,1.14993,18.67,15.89,n.a.,n.a.,n.a.
BCT Strategic MPF Scheme,Invesco Growth Fund - Unit Class A,BCT,Equity Fund - Global Equity Fund,28-12-2000,"2,956.26",5,1.29723,24.91,7.94,5.63,-17.78,0.94
BCT Strategic MPF Scheme,Invesco Growth Fund - Unit Class H,BCT,Equity Fund - Global Equity Fund,12-02-2001,"2,899.96",5,1.17397,25.05,8.06,5.75,-17.68,1.06
BCT Strategic MPF Scheme,Invesco Hang Seng Index Tracking Fund - Unit Class A,BCT,Equity Fund - Hong Kong Equity Fund (Index Tracking),31-07-2014,427.69,7,0.79266,30.34,21.79,-11.14,-13.17,-12.84
BCT Strategic MPF Scheme,Invesco Hang Seng Index Tracking Fund - Unit Class H,BCT,Equity Fund - Hong Kong Equity Fund (Index Tracking),31-07-2014,491.96,7,0.75084,30.40,21.84,-11.10,-13.14,-12.81
BCT Strategic MPF Scheme,Invesco Hong Kong and China Equity Fund - Unit Class A,BCT,Equity Fund - Hong Kong Equity Fund,05-03-2003,"1,635.99",7,1.24992,30.82,12.50,-19.97,-19.68,-18.64
BCT Strategic MPF Scheme,Invesco Hong Kong and China Equity Fund - Unit Class H,BCT,Equity Fund - Hong Kong Equity Fund,03-03-2003,"2,063.31",7,1.12778,30.98,12.64,-19.88,-19.58,-18.54
BCT Strategic MPF Scheme,Invesco MPF Conservative Fund - Unit Class A,BCT,Money Market Fund - MPF Conservative Fund,29-01-2001,"1,438.19",1,0.68966,2.30,3.61,3.57,0.42,0.00
BCT Strategic MPF Scheme,Invesco MPF Conservative Fund - Unit Class H,BCT,Money Market Fund - MPF Conservative Fund,12-02-2001,"1,502.16",1,0.68831,2.30,3.61,3.57,0.42,0.00
BCT Strategic MPF Scheme,Invesco RMB Bond Fund - Unit Class A,BCT,Bond Fund - RMB Bond Fund,05-03-2013,171.43,3,1.24665,5.94,1.00,2.55,-5.45,2.21
BCT Strategic MPF Scheme,Invesco RMB Bond Fund - Unit Class H,BCT,Bond Fund - RMB Bond Fund,06-03-2013,248.62,3,1.12379,6.06,1.13,2.67,-5.33,2.34
BCT Strategic MPF Scheme,Invesco US Index Tracking Fund - Unit Class A,BCT,Equity Fund - United States Equity Fund,09-06-2023,297.21,n.a.,1.04145,13.60,21.69,n.a.,n.a.,n.a.
BCT Strategic MPF Scheme,Invesco US Index Tracking Fund - Unit Class H,BCT,Equity Fund - United States Equity Fund,09-06-2023,437.54,n.a.,1.03905,13.60,21.69,n.a.,n.a.,n.a.
BEA (MPF) Industry Scheme,BEA (Industry Scheme) Age 65 Plus Fund ,BEA,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,01-04-2017,"1,147.59",4,0.77571,5.95,3.42,7.57,-14.35,0.97
BEA (MPF) Industry Scheme,BEA (Industry Scheme) Asian Equity Fund,BEA,Equity Fund - Asia Equity Fund,31-01-2012,671.28,5,1.29050,33.14,14.05,4.75,-24.41,0.03
BEA (MPF) Industry Scheme,BEA (Industry Scheme) Balanced Fund,BEA,Mixed Assets Fund - 41% to 60% Equity,01-12-2000,"1,948.03",4,1.34068,14.64,5.24,5.16,-17.27,-0.67
BEA (MPF) Industry Scheme,BEA (Industry Scheme) Core Accumulation Fund,BEA,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,01-04-2017,"3,670.22",4,0.77687,12.45,11.36,14.63,-15.96,9.54
BEA (MPF) Industry Scheme,BEA (Industry Scheme) Greater China Equity Fund,BEA,Equity Fund - Greater China Equity Fund,04-01-2010,980.22,6,1.29682,35.56,15.67,-6.94,-26.93,-4.43
BEA (MPF) Industry Scheme,BEA (Industry Scheme) Growth Fund,BEA,Mixed Assets Fund - 61% to 80% Equity,01-12-2000,"3,888.95",5,1.37183,19.60,8.48,5.62,-18.05,1.12
