scheme_tc,constituent_fund_tc,mpf_trustee_tc,fund_type_tc
富達退休集成信託,富達香港盈富基金,HSBC,股票基金 - 香港股票基金（追蹤指數）
富達退休集成信託,富達「儲蓄易」2025基金,HSBC,混合資產基金 - 未分類混合資產基金
富達退休集成信託,富達「儲蓄易」2030基金,HSBC,混合資產基金 - 未分類混合資產基金
富達退休集成信託,富達「儲蓄易」2035基金,HSBC,混合資產基金 - 未分類混合資產基金
富達退休集成信託,富達「儲蓄易」2040基金,HSBC,混合資產基金 - 未分類混合資產基金
富達退休集成信託,富達「儲蓄易」2045基金,HSBC,混合資產基金 - 未分類混合資產基金
富達退休集成信託,富達「儲蓄易」2050基金,HSBC,混合資產基金 - 未分類混合資產基金
富達退休集成信託,環球股票基金,HSBC,股票基金 - 環球股票基金
富達退休集成信託,增長基金,HSBC,混合資產基金 - 81% 至 100% 股票
富達退休集成信託,香港債券基金,HSBC,債券基金 - 港元債券基金
富達退休集成信託,香港股票基金,HSBC,股票基金 - 香港股票基金
富達退休集成信託,強積金保守基金,HSBC,貨幣市場基金 — 強積金保守基金
富達退休集成信託,退休易基金,HSBC,混合資產基金 - 未分類混合資產基金
富達退休集成信託,人民幣債券基金,HSBC,債券基金 - 人民幣債券基金
富達退休集成信託,平穩增長基金,HSBC,混合資產基金 - 41% 至 60% 股票
富達退休集成信託,國際債券基金,HSBC,債券基金 - 環球債券基金
海通MPF退休金,海通65歲後基金 - A類別,HSBC,混合資產基金 - 預設投資策略-65歲後基金
海通MPF退休金,海通65歲後基金 - T類別,HSBC,混合資產基金 - 預設投資策略-65歲後基金
海通MPF退休金,海通亞太基金 - A類別,HSBC,股票基金 - 亞洲股票基金
海通MPF退休金,海通亞太基金 - T類別,HSBC,股票基金 - 亞洲股票基金
海通MPF退休金,海通核心累積基金 - A類別,HSBC,混合資產基金 - 預設投資策略-核心累積基金
海通MPF退休金,海通核心累積基金 - T類別,HSBC,混合資產基金 - 預設投資策略-核心累積基金
海通MPF退休金,海通環球分散基金 - A類別,HSBC,股票基金 - 環球股票基金
海通MPF退休金,海通環球分散基金 - T類別,HSBC,股票基金 - 環球股票基金
海通MPF退休金,海通香港特區基金 - A類別,HSBC,股票基金 - 香港股票基金
海通MPF退休金,海通香港特區基金 - T類別,HSBC,股票基金 - 香港股票基金
海通MPF退休金,海通韓國基金 - A類別,HSBC,股票基金 - 未分類股票基金
海通MPF退休金,海通韓國基金 - T類別,HSBC,股票基金 - 未分類股票基金
海通MPF退休金,海通強積金保守基金 - A類別,HSBC,貨幣市場基金 — 強積金保守基金
海通MPF退休金,海通強積金保守基金 - T類別,HSBC,貨幣市場基金 — 強積金保守基金
恒生強積金智選計劃,65 歲後基金,HSBC,混合資產基金 - 預設投資策略-65歲後基金
恒生強積金智選計劃,亞太股票基金,HSBC,股票基金 - 亞洲股票基金
